Date,Close
8/20/2018,136.88
8/21/2018,135.35
8/22/2018,134.61
8/23/2018,135.11
8/24/2018,135.95
8/27/2018,134.92
8/28/2018,134.32
8/29/2018,134.86
8/30/2018,134.95
8/31/2018,134.69
9/4/2018,133.72
9/5/2018,135.86
9/6/2018,136.87
9/7/2018,137.32
9/10/2018,137.21
9/11/2018,138.51
9/12/2018,139.36
9/13/2018,139.89
9/14/2018,139.49
9/17/2018,139.96
9/18/2018,140.54
9/19/2018,140.46
9/20/2018,141.98
9/21/2018,142.88
9/24/2018,140.47
9/25/2018,138.64
9/26/2018,138.16
9/27/2018,138.22
9/28/2018,138.17
10/1/2018,139.69
10/2/2018,140.48
10/3/2018,139.03
10/4/2018,139.35
10/5/2018,139.1
10/8/2018,139.39
10/9/2018,139.2
10/10/2018,137.73
10/11/2018,133.84
10/12/2018,133.87
10/15/2018,133.95
10/16/2018,136.56
10/17/2018,139.46
10/18/2018,139.5
10/19/2018,139.05
10/22/2018,138.68
10/23/2018,138.93
10/24/2018,137.47
10/25/2018,138.47
10/26/2018,136.97
10/29/2018,137.55
10/30/2018,140.75
10/31/2018,139.99
11/1/2018,140.82
11/2/2018,140.68
11/5/2018,142.2
11/6/2018,142.57
11/7/2018,144.75
11/8/2018,145.3
11/9/2018,145.34
11/12/2018,145.62
11/13/2018,144.68
11/14/2018,144.25
11/15/2018,144.5
11/16/2018,145.99
11/19/2018,147.73
11/20/2018,146.45
11/21/2018,141.99
11/23/2018,142.23
11/26/2018,141.37
11/27/2018,143.22
11/28/2018,146.44
11/29/2018,145.85
11/30/2018,146.9
12/3/2018,146.21
12/4/2018,146.03
12/6/2018,145.91
12/7/2018,145.43
12/10/2018,145.26
12/11/2018,146.5
12/12/2018,147.1
12/13/2018,147.84
12/14/2018,133
12/17/2018,129.14
12/18/2018,130.42
12/19/2018,127.61
12/20/2018,128.27
12/21/2018,128.09
12/24/2018,122.84
12/26/2018,126.71
12/27/2018,127.41
12/28/2018,127.27
12/31/2018,129.05
1/2/2019,127.75
1/3/2019,125.72
1/4/2019,127.83
1/7/2019,127.01
1/8/2019,129.96
1/9/2019,128.93
1/10/2019,129.71
1/11/2019,129.75
1/14/2019,128.28
1/15/2019,129.36
1/16/2019,128.04
1/17/2019,129.09
1/18/2019,130.69
1/22/2019,128.8
1/23/2019,128.8
1/24/2019,127.03
1/25/2019,128.23
1/28/2019,128.99
1/29/2019,130.33
1/30/2019,131.64
1/31/2019,133.08
2/1/2019,134.2
2/4/2019,132.88
2/5/2019,132.88
2/6/2019,133
2/7/2019,132.05
2/8/2019,132.4
2/11/2019,132
2/12/2019,134.16
2/13/2019,134.45
2/14/2019,134.31
2/15/2019,136.38
2/19/2019,135.69
2/20/2019,136.35
2/21/2019,135.42
2/22/2019,136.6
2/25/2019,136.2
2/26/2019,136.11
2/27/2019,135.87
2/28/2019,136.64
3/1/2019,138.35
3/4/2019,138.48
3/5/2019,138.77
3/6/2019,139.09
3/7/2019,138.24
3/8/2019,138.06
3/11/2019,138.56
3/12/2019,139.18
3/13/2019,139.41
3/14/2019,138.02
3/15/2019,137.6
3/18/2019,137.17
3/19/2019,138.44
3/20/2019,137.29
3/21/2019,138.1
3/22/2019,136.91
3/25/2019,136.61
3/26/2019,138.57
3/27/2019,138.7
3/28/2019,138.88
3/29/2019,139.79
4/1/2019,138.98
4/2/2019,137.71
4/3/2019,137.17
4/4/2019,135.57
4/5/2019,136.18
4/8/2019,136.14
4/9/2019,135.57
4/10/2019,135.58
4/11/2019,135.21
4/12/2019,135.98
4/15/2019,136.52
4/16/2019,138.02
4/17/2019,138.52
4/18/2019,137.52
4/22/2019,137.83
4/23/2019,139.9
4/24/2019,139.2
4/25/2019,139.65
4/26/2019,140.39
4/29/2019,139.84
4/30/2019,141.2
5/1/2019,141.95
5/2/2019,141.28
5/3/2019,142.01
5/6/2019,142.09
5/7/2019,139.97
5/8/2019,139.79
5/9/2019,138.73
5/10/2019,139.05
5/13/2019,137.2
5/14/2019,136.82
5/15/2019,136.91
5/16/2019,138.21
5/17/2019,138.61
5/20/2019,138.42
5/21/2019,138.12
5/22/2019,138.76
5/23/2019,139.79
5/24/2019,138.85
5/28/2019,137.07
5/29/2019,131.33
5/30/2019,132.11
5/31/2019,131.15
6/3/2019,131.44
6/4/2019,133.73
6/5/2019,134.38
6/6/2019,136.68
6/7/2019,138.55
6/10/2019,139.02
6/11/2019,139.78
6/12/2019,141.68
6/13/2019,140.71
6/14/2019,140.09
6/17/2019,139.44
6/18/2019,140.23
6/19/2019,140.45
6/20/2019,142.21
6/21/2019,142.09
6/24/2019,143.06
6/25/2019,144.24
6/26/2019,141.85
6/27/2019,140.69
6/28/2019,139.28
7/1/2019,139.36
7/2/2019,140.03
7/3/2019,142.14
7/5/2019,140.57
7/8/2019,140.97
7/9/2019,141.41
7/10/2019,141.21
7/11/2019,140.11
7/12/2019,134.3
7/15/2019,134.71
7/16/2019,132.5
7/17/2019,131.86
7/18/2019,132.07
7/19/2019,130.31
7/22/2019,128.64
7/23/2019,128.84
7/24/2019,129.78
7/25/2019,131.12
7/26/2019,130.73
7/29/2019,133.02
7/30/2019,132.08
7/31/2019,130.22
8/1/2019,130.29
8/2/2019,131.07
8/5/2019,130.16
8/6/2019,130.77
8/7/2019,130.21
8/8/2019,131.68
8/9/2019,132.04
8/12/2019,131.93
8/13/2019,133.42
8/14/2019,130.26
8/15/2019,130.54
8/16/2019,131.36
8/19/2019,132.25
8/20/2019,130.6
8/21/2019,131.53
8/22/2019,131.27
8/23/2019,127.73
8/26/2019,127.8
8/27/2019,129.64
8/28/2019,128.68
8/29/2019,128.24
8/30/2019,128.36
9/3/2019,128.74
9/4/2019,128.86
9/5/2019,128.58
9/6/2019,128.21
9/9/2019,126.95
9/10/2019,129.55
9/11/2019,131.17
9/12/2019,130.43
9/13/2019,130.78
9/16/2019,129.54
9/17/2019,129.67
9/18/2019,130.41
9/19/2019,130.11
9/20/2019,131.65
9/23/2019,131.74
9/24/2019,131.55
9/25/2019,130.99
9/26/2019,128.85
9/27/2019,128.6
9/30/2019,129.38
10/1/2019,129.99
10/2/2019,132
10/3/2019,131.19
10/4/2019,133.66
10/7/2019,133.16
10/8/2019,131.84
10/9/2019,129.22
10/10/2019,129.06
10/11/2019,131.33
10/14/2019,130.72
10/15/2019,132.84
10/16/2019,135.17
10/17/2019,136.17
10/18/2019,127.7
10/21/2019,128.02
10/22/2019,129.2
10/23/2019,129.9
10/24/2019,127.5
10/25/2019,128.35
10/28/2019,129.18
10/29/2019,129.12
10/30/2019,132.84
10/31/2019,132.04
11/1/2019,131.2
11/4/2019,130.23
11/5/2019,130.42
11/6/2019,130.96
11/7/2019,131.43
11/8/2019,133
11/11/2019,131.98
11/12/2019,131.35
11/13/2019,131.27
11/14/2019,130.96
11/15/2019,134.94
11/18/2019,134.83
11/19/2019,134.82
11/20/2019,135.94
11/21/2019,136.44
11/22/2019,138.07
11/25/2019,137.18
11/26/2019,137.17
11/27/2019,137.75
11/29/2019,137.49
12/2/2019,137.36
12/3/2019,137.16
12/4/2019,139.38
12/5/2019,139.56
12/6/2019,140.38
12/9/2019,140.5
12/10/2019,139.99
12/11/2019,140.98
12/12/2019,141.34
12/13/2019,141.38
12/16/2019,141.79
12/17/2019,143.56
12/18/2019,143.19
12/19/2019,145.35
12/20/2019,146.06
12/23/2019,146.44
12/24/2019,145.93
12/26/2019,145.83
12/27/2019,145.75
12/30/2019,145.3
