Date,Close
1/2/2018,10.98
1/3/2018,11.55
1/4/2018,12.12
1/5/2018,11.88
1/8/2018,12.28
1/9/2018,11.82
1/10/2018,11.96
1/11/2018,12.14
1/12/2018,12.02
1/16/2018,11.91
1/17/2018,12.18
1/18/2018,12.47
1/19/2018,12.59
1/22/2018,12.65
1/23/2018,12.94
1/24/2018,12.71
1/25/2018,12.41
1/26/2018,12.95
1/29/2018,13.32
1/30/2018,12.87
1/31/2018,13.74
2/1/2018,13.25
2/2/2018,12.45
2/5/2018,11.57
2/6/2018,11.65
2/7/2018,11.6
2/8/2018,11.22
2/9/2018,11.31
2/12/2018,11.68
2/13/2018,11.78
2/14/2018,12.2
2/15/2018,12.19
2/16/2018,11.82
2/20/2018,12.02
2/21/2018,11.72
2/22/2018,11.84
2/23/2018,12.07
2/26/2018,12.42
2/27/2018,12.53
2/28/2018,12.11
3/1/2018,11.9
3/2/2018,11.81
3/5/2018,11.91
3/6/2018,11.76
3/7/2018,12.24
3/8/2018,11.97
3/9/2018,11.7
3/12/2018,11.52
3/13/2018,11.64
3/14/2018,11.36
3/15/2018,11.46
3/16/2018,11.47
3/19/2018,11.43
3/20/2018,11.11
3/21/2018,11.26
3/22/2018,10.91
3/23/2018,10.63
3/26/2018,10.44
3/27/2018,10
3/28/2018,9.81
3/29/2018,10.05
4/2/2018,9.53
4/3/2018,9.55
4/4/2018,9.77
4/5/2018,10.02
4/6/2018,9.61
4/9/2018,9.53
4/10/2018,9.98
4/11/2018,9.82
4/12/2018,10.08
4/13/2018,9.93
4/16/2018,10.09
4/17/2018,10.52
4/18/2018,10.36
4/19/2018,10.11
4/20/2018,9.99
4/23/2018,10.04
4/24/2018,10.09
4/25/2018,9.71
4/26/2018,11.04
4/27/2018,11.11
4/30/2018,10.88
5/1/2018,11.13
5/2/2018,10.97
5/3/2018,10.93
5/4/2018,11.28
5/7/2018,11.59
5/8/2018,11.61
5/9/2018,11.95
5/10/2018,12.13
5/11/2018,11.95
5/14/2018,12.23
5/15/2018,12.45
5/16/2018,12.82
5/17/2018,12.82
5/18/2018,12.82
5/21/2018,12.99
5/22/2018,12.98
5/23/2018,13.1
5/24/2018,13.41
5/25/2018,13.54
5/29/2018,13.36
5/30/2018,13.82
5/31/2018,13.73
6/1/2018,14.4
6/4/2018,14.85
6/5/2018,14.85
6/6/2018,15.67
6/7/2018,14.89
6/8/2018,15.25
6/11/2018,15.73
6/12/2018,15.85
6/13/2018,16.32
6/14/2018,16.25
6/15/2018,16.34
6/18/2018,17.11
6/19/2018,16.69
6/20/2018,16.52
6/21/2018,15.65
6/22/2018,15.8
6/25/2018,15.11
6/26/2018,15.5
6/27/2018,14.97
6/28/2018,15.31
6/29/2018,14.99
7/2/2018,15.16
7/3/2018,15
7/5/2018,15.5
7/6/2018,16.36
7/9/2018,16.61
7/10/2018,16.55
7/11/2018,16.27
7/12/2018,16.56
7/13/2018,16.27
7/16/2018,16.58
7/17/2018,16.87
7/18/2018,16.85
7/19/2018,16.71
7/20/2018,16.5
7/23/2018,16.66
7/24/2018,16.19
7/25/2018,16.05
7/26/2018,18.35
7/27/2018,18.94
